customer_id,customer_name,email,phone,address,area,pincode,registration_date,customer_segment,total_orders,avg_order_value,,,,,,
52613657,Kala Ravi,unni50@example.org,+917291189791,"H.No. 521
Peri, Khora 519235",Sultan Pur Majra,685992,16/03/2023,0,9,₹470.50,,,,,,
50760752,Yug Varughese,kapooravi@example.org,+916862473368,"H.No. 12
Randhawa
Proddatur 807263",Maheshtala,100658,17/03/2023,0,14,"₹1,670.47",,,,,,
82179338,Isha Dugar,adya37@example.net,Invalid phone number,"60, Bakshi Circle, Tezpur-857578",Ulhasnagar,370025,17/03/2023,0,12,"₹1,775.89",,,,,,
89910157,Dayamai Ray,jdate@example.com,Invalid phone number,"775, Nayak Street, Patna-218169",Khandwa,166001,19/03/2023,0,5,"₹1,859.93",,,,Average,"₹1,102.38",
99627097,Amara Narayanan,yatin58@example.net,+917346202732,"H.No. 17
Uppal Marg
Danapur 126611",Raiganj,437954,19/03/2023,0,10,"₹1,085.49",,,,Median,"₹1,118.65",
29689766,Pallavi Kala,madhav18@example.org,Invalid phone number,"H.No. 983
Setty Path, Mira-Bhayandar 331770",Tenali,243885,20/03/2023,0,14,₹967.01,,,,Standard Deviation,523.0431826,
40117357,Jai Murty,subramaniansanya@example.net,Invalid phone number,"58/465
Madan Ganj, Jhansi-323091",Imphal,177718,20/03/2023,0,16,₹753.81,,,,MIN,₹200.43,
52393801,Aarush Roy,hemalkapadia@example.org,Invalid phone number,"411
Nori Zila, Giridih 250229",Ranchi,96858,20/03/2023,0,2,"₹1,910.55",,,,MAX,"₹1,999.83",
59485034,Dominic Sidhu,narainbaghyawati@example.com,+917819007247,"H.No. 17
Mangat Chowk
Morena 729596",Agartala,931347,20/03/2023,0,1,"₹1,762.35",,,,,,
95371787,Bhavya Bhattacharyya,yachanabora@example.com,Invalid phone number,"H.No. 81
Kamdar Nagar
Bhavnagar 028519",Gudivada,296207,20/03/2023,0,9,"₹1,312.28",,,,,,
95428692,Janani Yohannan,chakradevwable@example.com,+919305731276,"H.No. 76, Ravel Circle, Raurkela Industrial Township-413543",Motihari,512761,21/03/2023,0,14,"₹1,834.38",,,,,Segment,Code
54730270,Aradhana Munshi,rajeshri93@example.org,+917741778001,"70/03
Sarma Ganj, Patiala-333640",Salem,706203,22/03/2023,0,19,"₹1,256.55",,,,,New,0
82374625,Ronith Sami,pandeyliam@example.org,Invalid phone number,"09/073, Rout Marg
Bhilai-211934",Singrauli,789283,22/03/2023,0,20,"₹1,923.64",,,,,Regular,1
